season,team_id,game_pk,n_bip,dpi,staff_bip,n_pitchers_bip,staff_k_pct,staff_ubb_pct,staff_net_gb,staff_popup_rate,staff_sp_share,pitch_hat,dpi_v2_stage1
2015,WSH,413981,23,2.584,23,4,0.2658987173080126,0.04348492420456439,0.19934532733633184,0.05581375978677328,0.6521739130434783,0.305871730974129,2.278128269025871
2015,NYM,413981,31,-1.427,31,5,0.2500249018731015,0.05362689183424557,0.16379426439373326,0.04723102651078516,0.5812903225806452,0.24181832440156348,-1.6688183244015635
2015,TOR,413980,30,0.625,30,5,0.22267190302423157,0.0703679091307595,0.15777683285929836,0.05266387570054447,0.4,-0.11082333841537706,0.7358233384153771
2015,SEA,413979,26,1.69,26,3,0.1862463460113508,0.09166239180529431,0.191274804374201,0.03301821498074276,0.6923076923076923,0.5129464629753077,1.1770535370246922
2015,HOU,413979,33,-0.787,33,5,0.17143813567408886,0.05503139134280344,0.23469074943292956,0.03558466066090215,0.7272727272727273,0.6258378095937239,-1.412837809593724
2015,STL,413978,27,10.234,27,6,0.2199504582297985,0.07237023867410936,0.11917662581075887,0.038372951909635494,0.4074074074074074,-0.006371425696421684,10.240371425696422
2015,PHI,413978,30,10.365,30,4,0.16351968267590966,0.08073570656474119,0.27862257581491184,0.039313539103516995,0.5666666666666667,0.2059352404627397,10.15906475953726
2015,DET,413977,28,0.0,28,4,0.1522425525678776,0.07714340810104063,0.20876363914296164,0.054840717581788524,0.5751231527093597,0.28662745582335014,-0.28662745582335014
2015,KC,413977,22,14.267,22,3,0.18225637571449316,0.09069336983564848,0.13486692489428956,0.06616535596991292,0.5866712235133288,0.2791833269820667,13.987816673017933
2015,CIN,413976,25,4.976,25,2,0.1711744680851064,0.06931489361702128,0.2572262411347518,0.031075177304964535,0.8447058823529412,0.8170784297064596,4.158921570293541
2015,ATL,413976,25,4.885,25,3,0.20163556531337,0.08026811900381892,0.20543327920502846,0.05658364059779615,0.7681255787827723,0.5702543693010025,4.314745630698997
2015,MIN,413975,31,-0.092,31,4,0.21904901536117832,0.05620664750076095,0.15679033593599784,0.04722823146880732,0.2682479600859946,-0.31892596020406216,0.22692596020406217
2015,CWS,413975,31,-3.047,31,4,0.24076408558839926,0.059129921908932855,0.2627288537821139,0.03556797888118431,0.4838709677419355,-0.027268338547550064,-3.0197316614524503
2015,ATH,413974,33,0.378,33,5,0.17608347969594298,0.09660254776053391,0.19493146902806974,0.06558611950240886,0.4179728317659352,-0.12547729771636884,0.5034772977163688
2015,LAA,413974,29,0.71,29,5,0.2207998082372814,0.07062582130721297,0.21440319115765624,0.05244702425568196,0.5172413793103449,0.05851396820243404,0.6514860317975659
2015,WSH,413973,22,0.968,22,3,0.2013534420250838,0.045546765366782926,0.20269269826630085,0.06201677364246871,0.8636363636363636,0.8183112805752363,0.1496887194247637
