season,team_id,game_pk,n_bip,dpi_speed
2015,NYM,413858,29,0.989
2015,AZ,413857,32,-3.111
2015,WSH,413856,32,-1.042
2015,STL,413856,23,2.005
2015,COL,413855,31,-0.539
2015,SD,413855,28,0.016
2015,ATH,413854,31,-1.424
2015,NYY,413853,24,-0.455
2015,DET,413853,29,0.087
2015,MIA,413851,23,0.0
2015,PHI,413851,26,0.0
2015,LAD,413850,29,-0.893
2015,SF,413850,24,0.084
2015,SEA,413849,23,0.0
2015,HOU,413849,24,0.0
2015,CLE,413848,20,-1.736
2015,CWS,413848,26,0.427
2015,CHC,413846,27,-0.816
2015,BOS,413845,23,1.873
2015,TOR,413844,33,-2.525
2015,BAL,413844,37,-0.107
2015,ATL,413843,33,-1.756
2015,NYM,413843,24,1.709
2015,SD,413842,28,-1.228
2015,LAA,413841,28,2.242
2015,DET,413840,24,-0.22
2015,NYY,413840,21,0.303
2015,SEA,413838,27,2.046
2015,CLE,413837,24,-3.465
2015,CWS,413837,26,1.907
2015,CIN,413836,24,0.735
2015,MIL,413836,28,0.021
2015,CHC,413835,23,0.539
2015,PIT,413835,34,-3.317
2015,BAL,413834,21,-0.007
2015,BOS,413834,17,0.975
2015,TEX,413833,35,-4.0
2015,SEA,413833,36,-1.409
2015,SD,413832,27,-1.427
2015,WSH,413831,26,1.691
2015,PHI,413831,28,1.658
2015,KC,413830,23,-1.167
2015,ATH,413830,26,0.496
2015,TB,413829,30,-0.668
2015,MIL,413828,26,-0.199
2015,PIT,413828,23,-0.706
2015,NYM,413827,29,-1.061
2015,MIA,413827,25,0.305
2015,CLE,413825,30,-1.1
2015,MIN,413825,28,0.842
2015,STL,413824,30,0.184
2015,CIN,413824,24,4.226
2015,DET,413823,24,0.924
2015,CWS,413823,30,-0.609
2015,BOS,413822,31,-3.235
2015,BAL,413822,26,4.709
2015,ATL,413821,19,-0.078
2015,TOR,413821,26,2.446
2015,AZ,413820,29,1.603
2015,SF,413820,28,2.231
2015,HOU,413819,28,-0.118
2015,SEA,413818,14,4.554
2015,TEX,413818,25,1.901
2015,WSH,413816,30,7.052
2015,PHI,413816,26,3.406
2015,KC,413815,28,1.843
2015,ATH,413815,26,0.753
2015,NYY,413814,20,2.135
2015,TB,413814,25,-1.459
2015,MIL,413813,25,0.149
2015,PIT,413813,23,1.316
2015,MIA,413812,28,-0.949
2015,NYM,413812,24,-0.554
2015,COL,413811,24,-0.262
2015,CLE,413810,17,0.016
2015,STL,413809,30,2.988
2015,CIN,413809,32,0.788
2015,CWS,413808,27,2.134
2015,DET,413808,37,-1.346
