team_id,season,blup,pipeline
ATH,2015,-0.00143,v2_strip_park_frozen
ATH,2016,-0.11442,v2_strip_park_frozen
ATH,2017,0.01036,v2_strip_park_frozen
ATH,2018,0.28402,v2_strip_park_frozen
ATH,2019,0.049,v2_strip_park_frozen
ATH,2020,-0.03601,v2_strip_park_frozen
ATH,2021,0.01308,v2_strip_park_frozen
ATH,2022,-0.05175,v2_strip_park_frozen
ATH,2023,-0.06452,v2_strip_park_frozen
ATH,2024,-0.10998,v2_strip_park_frozen
ATH,2025,-0.12924,v2_strip_park_frozen
ATL,2015,-0.04552,v2_strip_park_frozen
ATL,2016,0.1721,v2_strip_park_frozen
ATL,2017,0.03035,v2_strip_park_frozen
ATL,2018,0.21907,v2_strip_park_frozen
ATL,2019,0.07598,v2_strip_park_frozen
ATL,2020,-0.02533,v2_strip_park_frozen
ATL,2021,0.14066,v2_strip_park_frozen
ATL,2022,-0.04874,v2_strip_park_frozen
ATL,2023,-0.08222,v2_strip_park_frozen
ATL,2024,-0.16574,v2_strip_park_frozen
ATL,2025,0.02926,v2_strip_park_frozen
AZ,2015,0.22933,v2_strip_park_frozen
AZ,2016,-0.01863,v2_strip_park_frozen
AZ,2017,0.05852,v2_strip_park_frozen
AZ,2018,0.17732,v2_strip_park_frozen
AZ,2019,0.26425,v2_strip_park_frozen
AZ,2020,0.03937,v2_strip_park_frozen
AZ,2021,-0.08135,v2_strip_park_frozen
AZ,2022,0.17015,v2_strip_park_frozen
AZ,2023,0.05909,v2_strip_park_frozen
AZ,2024,0.01815,v2_strip_park_frozen
AZ,2025,0.04085,v2_strip_park_frozen
BAL,2015,0.06586,v2_strip_park_frozen
BAL,2016,0.01214,v2_strip_park_frozen
BAL,2017,-0.12163,v2_strip_park_frozen
BAL,2018,-0.19815,v2_strip_park_frozen
BAL,2019,0.01428,v2_strip_park_frozen
BAL,2020,0.05748,v2_strip_park_frozen
BAL,2021,-0.00041,v2_strip_park_frozen
BAL,2022,-0.02374,v2_strip_park_frozen
BAL,2023,0.11462,v2_strip_park_frozen
BAL,2024,0.06353,v2_strip_park_frozen
BAL,2025,-0.18142,v2_strip_park_frozen
BOS,2015,-0.05356,v2_strip_park_frozen
BOS,2016,0.07996,v2_strip_park_frozen
BOS,2017,-0.01729,v2_strip_park_frozen
BOS,2018,0.17018,v2_strip_park_frozen
BOS,2019,-0.12062,v2_strip_park_frozen
BOS,2020,-0.0927,v2_strip_park_frozen
BOS,2021,-0.10837,v2_strip_park_frozen
BOS,2022,-0.01596,v2_strip_park_frozen
BOS,2023,-0.07112,v2_strip_park_frozen
BOS,2024,0.07044,v2_strip_park_frozen
BOS,2025,0.08518,v2_strip_park_frozen
CHC,2015,0.04865,v2_strip_park_frozen
CHC,2016,0.33121,v2_strip_park_frozen
CHC,2017,0.11627,v2_strip_park_frozen
CHC,2018,0.21614,v2_strip_park_frozen
CHC,2019,-0.01298,v2_strip_park_frozen
CHC,2020,0.08371,v2_strip_park_frozen
CHC,2021,-0.0595,v2_strip_park_frozen
CHC,2022,0.03689,v2_strip_park_frozen
CHC,2023,0.10033,v2_strip_park_frozen
CHC,2024,-0.04771,v2_strip_park_frozen
