player_id,name,position,projected_war,marcel_war,statcast_adjustment,tj_adjustment,role_change_adjustment,age,prior_3yr_war,prior_3yr_pa_or_ip
683011,Anthony Volpe,batter,3.0,3.0,0.0,0.0,0.0,23.0,3.25,601.0
676440,Tanner Bibee,pitcher,2.981,3.453,-0.472,0.0,0.0,25.0,3.87,142.0
628711,Julio Urías,pitcher,2.968,2.696,0.272,0.0,0.0,27.0,9.91,497.3
605540,Brandon Woodruff,pitcher,2.94,2.94,0.0,0.0,0.0,31.0,10.69,406.3
663538,Nico Hoerner,batter,2.926,3.342,-0.416,0.0,0.0,27.0,10.82,1375.0
656775,Cedric Mullins,batter,2.911,3.357,-0.446,0.0,0.0,29.0,13.01,1814.0
575929,Willson Contreras,batter,2.909,2.909,0.0,0.0,0.0,32.0,11.32,1465.0
668804,Bryan Reynolds,batter,2.902,2.902,0.0,0.0,0.0,29.0,11.34,1900.0
669221,Sean Murphy,batter,2.879,2.879,0.0,0.0,0.0,29.0,10.44,1505.0
677951,Bobby Witt,batter,2.878,2.878,0.0,0.0,0.0,24.0,5.21,1326.0
641154,Pablo López,pitcher,2.836,2.836,0.0,0.0,0.0,28.0,9.3,488.4
656756,Jordan Montgomery,pitcher,2.823,2.823,0.0,0.0,0.0,31.0,9.13,557.3
624133,Ranger Suárez,pitcher,2.812,2.812,0.0,0.0,0.0,28.0,10.31,419.2
545361,Mike Trout,batter,2.73,2.73,0.0,0.0,0.0,32.0,10.95,1007.0
641857,Ryan McMahon,batter,2.716,2.716,0.0,0.0,0.0,29.0,10.12,1820.0
663556,Shane McClanahan,pitcher,2.711,2.711,0.0,0.0,0.0,27.0,8.74,417.1
690986,Kyle Harrison,pitcher,2.702,2.265,0.437,0.0,0.0,22.0,0.22,34.2
572233,Christian Walker,batter,2.69,2.69,0.0,0.0,0.0,33.0,9.34,1848.0
662139,Daulton Varsho,batter,2.689,3.003,-0.314,0.0,0.0,27.0,10.1,1494.0
664285,Framber Valdez,pitcher,2.688,2.688,0.0,0.0,0.0,30.0,9.11,590.2
650490,Yandy Díaz,batter,2.683,2.953,-0.27,0.0,0.0,32.0,10.06,1733.0
605397,Joe Musgrove,pitcher,2.682,2.682,0.0,0.0,0.0,31.0,9.33,477.4
571970,Max Muncy,batter,2.661,2.661,0.0,0.0,0.0,33.0,10.59,1764.0
681082,Bryson Stott,batter,2.649,2.649,0.0,0.0,0.0,26.0,5.53,1208.0
682998,Corbin Carroll,batter,2.646,3.146,-0.5,0.0,0.0,23.0,6.51,838.0
514888,José Altuve,batter,2.597,3.097,-0.5,0.0,0.0,34.0,12.54,1882.0
543135,Nathan Eovaldi,pitcher,2.594,2.319,0.275,0.0,0.0,34.0,8.67,492.3
593871,Jorge Polanco,batter,2.558,2.24,0.318,0.0,0.0,30.0,9.61,1458.0
645277,Ozzie Albies,batter,2.477,2.838,-0.361,0.0,0.0,27.0,9.6,1701.0
680694,Kyle Bradish,pitcher,2.469,2.469,0.0,0.0,0.0,27.0,5.0,290.3
669923,George Kirby,pitcher,2.454,2.454,0.0,0.0,0.0,26.0,5.12,328.2
592662,Robbie Ray,pitcher,2.443,1.957,0.486,0.0,0.0,32.0,8.67,388.4
664023,Ian Happ,batter,2.424,2.75,-0.326,0.0,0.0,29.0,9.41,1867.0
680574,Matt McLain,batter,2.414,2.914,-0.5,0.0,0.0,24.0,3.57,403.0
650402,Gleyber Torres,batter,2.403,2.403,0.0,0.0,0.0,27.0,7.67,1801.0
675911,Spencer Strider,pitcher,2.397,2.397,0.0,0.0,0.0,25.0,6.81,335.2
669456,Shane Bieber,pitcher,2.278,2.278,0.0,0.0,0.0,29.0,8.0,437.3
668227,Randy Arozarena,batter,2.268,2.768,-0.5,0.0,0.0,29.0,10.12,1940.0
606192,Teoscar Hernández,batter,2.252,2.252,0.0,0.0,0.0,31.0,8.82,1817.0
669302,Logan Gilbert,pitcher,2.229,2.229,0.0,0.0,0.0,27.0,6.85,500.3
545333,Trevor Bauer,pitcher,2.221,2.221,0.0,0.0,0.0,33.0,3.11,107.2
680977,Brendan Donovan,batter,2.216,2.216,0.0,0.0,0.0,27.0,5.84,846.0
663993,Nathaniel Lowe,batter,2.215,2.502,-0.287,0.0,0.0,28.0,8.43,2083.0
672386,Alejandro Kirk,batter,2.198,2.198,0.0,0.0,0.0,25.0,6.77,1169.0
643446,Jeff McNeil,batter,2.186,2.686,-0.5,0.0,0.0,32.0,9.75,1674.0
671096,Andrew Abbott,pitcher,2.133,2.388,-0.255,0.0,0.0,25.0,2.74,109.1
601713,Nick Pivetta,pitcher,2.12,2.159,0.261,0.0,-0.3,31.0,7.31,489.6
592885,Christian Yelich,batter,2.109,2.109,0.0,0.0,0.0,32.0,7.33,1805.0
663728,Cal Raleigh,batter,2.102,2.102,0.0,0.0,0.0,27.0,6.73,1156.0
663757,Trent Grisham,batter,2.098,2.098,0.0,0.0,0.0,27.0,7.62,1652.0
642585,Félix Bautista,pitcher,2.073,2.073,0.0,0.0,0.0,29.0,5.38,126.2
666200,Jesús Luzardo,pitcher,2.066,2.066,0.0,0.0,0.0,26.0,5.34,377.4
607074,Carlos Rodón,pitcher,2.06,2.33,-0.27,0.0,0.0,31.0,9.47,377.2
608337,Lucas Giolito,pitcher,2.04,1.626,0.414,0.0,0.0,29.0,6.31,528.3
543807,George Springer,batter,2.031,2.031,0.0,0.0,0.0,34.0,8.54,1625.0
656555,Rhys Hoskins,batter,2.025,2.025,0.0,0.0,0.0,31.0,5.15,1188.0
606466,Ketel Marte,batter,2.017,2.374,-0.357,0.0,0.0,30.0,8.21,1661.0
682928,CJ Abrams,batter,1.981,1.981,0.0,0.0,0.0,23.0,3.51,916.0
621439,Byron Buxton,batter,1.979,1.979,0.0,0.0,0.0,30.0,9.53,984.0
663457,Lars Nootbaar,batter,1.979,1.979,0.0,0.0,0.0,26.0,6.5,982.0
664034,Ty France,batter,1.975,1.975,0.0,0.0,0.0,29.0,8.02,1955.0
666971,Lourdes Gurriel,batter,1.952,1.952,0.0,0.0,0.0,30.0,7.38,1696.0
630105,Jake Cronenworth,batter,1.951,2.272,-0.32,0.0,0.0,30.0,9.51,1898.0
573186,Marcus Stroman,pitcher,1.948,1.948,0.0,0.0,0.0,33.0,7.39,453.4
666129,Braxton Garrett,pitcher,1.945,1.945,0.0,0.0,0.0,26.0,5.56,284.2
668881,Hunter Greene,pitcher,1.942,1.633,0.309,0.0,0.0,24.0,2.97,237.2
663624,Ryan Mountcastle,batter,1.938,1.438,0.5,0.0,0.0,27.0,4.7,1678.0
669720,Austin Hays,batter,1.919,2.419,-0.5,0.0,0.0,28.0,8.78,1690.0
572191,Michael Taylor,batter,1.905,1.905,0.0,0.0,0.0,33.0,8.15,1386.0
661395,Jhoan Duran,pitcher,1.903,1.903,0.0,0.0,0.0,26.0,4.83,134.3
592836,Taijuan Walker,pitcher,1.868,1.868,0.0,0.0,0.0,31.0,5.79,488.3
657006,Justin Steele,pitcher,1.865,1.865,0.0,0.0,0.0,28.0,5.85,349.1
642547,Freddy Peralta,pitcher,1.855,1.855,0.0,0.0,0.0,28.0,6.86,396.3
693821,Bryce Elder,pitcher,1.835,1.835,0.0,0.0,0.0,25.0,3.67,231.1
672282,Reid Detmers,pitcher,1.825,1.825,0.0,0.0,0.0,24.0,4.33,297.4
672515,Gabriel Moreno,batter,1.818,2.297,-0.479,0.0,0.0,24.0,4.93,523.0
650633,Mike King,pitcher,1.808,1.808,0.0,0.0,0.0,29.0,6.15,218.3
670623,Isaac Paredes,batter,1.808,2.308,-0.5,0.0,0.0,25.0,6.4,1049.0
608379,Michael Wacha,pitcher,1.788,1.788,0.0,0.0,0.0,32.0,5.45,388.3
678394,Brayan Bello,pitcher,1.787,1.787,0.0,0.0,0.0,25.0,3.49,214.1
553993,Eugenio Suárez,batter,1.771,1.771,0.0,0.0,0.0,32.0,5.92,1918.0
656941,Kyle Schwarber,batter,1.76,1.482,0.278,0.0,0.0,31.0,6.43,2040.0
642708,Amed Rosario,batter,1.755,1.755,0.0,0.0,0.0,28.0,6.51,1835.0
664040,Brandon Lowe,batter,1.752,1.752,0.0,0.0,0.0,29.0,7.55,1335.0
