timestamp_utc,inning,half,batter_id,batter_name,pitcher_id,pitcher_name,count_balls,count_strikes,runners_on,outs,pitchgpt_top1_type,pitchgpt_top1_prob,pitchgpt_top3_json,actual_pitch_type,actual_zone,actual_velo,correct_top1,brier,log_loss
2026-04-20T00:02:40Z,2,bottom,665561,Rafael Marchán,656550,Grant Holmes,1,1,empty,1,SL,0.4448,"[{""type"":""SL"",""prob"":0.4448},{""type"":""FF"",""prob"":0.3037},{""type"":""CU"",""prob"":0.1085}]",FF,8,95.6,False,0.7015,1.1917
2026-04-20T00:03:04Z,2,bottom,702222,Justin Crawford,656550,Grant Holmes,0,0,empty,2,FF,0.285,"[{""type"":""FF"",""prob"":0.285},{""type"":""SL"",""prob"":0.2777},{""type"":""CU"",""prob"":0.1735}]",FF,11,95.0,True,0.6449,1.2552
2026-04-20T00:03:28Z,2,bottom,702222,Justin Crawford,656550,Grant Holmes,1,0,empty,2,FF,0.3368,"[{""type"":""FF"",""prob"":0.3368},{""type"":""SL"",""prob"":0.2823},{""type"":""CU"",""prob"":0.1581}]",CU,4,85.0,False,0.9216,1.8448
2026-04-20T00:03:52Z,2,bottom,702222,Justin Crawford,656550,Grant Holmes,1,1,empty,2,SL,0.4279,"[{""type"":""SL"",""prob"":0.4279},{""type"":""FF"",""prob"":0.2858},{""type"":""CU"",""prob"":0.1392}]",CU,11,83.9,False,1.014,1.9718
2026-04-20T00:04:04Z,2,bottom,702222,Justin Crawford,656550,Grant Holmes,2,1,empty,2,SL,0.3816,"[{""type"":""SL"",""prob"":0.3816},{""type"":""FF"",""prob"":0.3025},{""type"":""CU"",""prob"":0.1543}]",FF,11,95.2,False,0.6657,1.1958
2026-04-20T00:04:17Z,2,bottom,702222,Justin Crawford,656550,Grant Holmes,2,2,empty,2,SL,0.399,"[{""type"":""SL"",""prob"":0.399},{""type"":""FF"",""prob"":0.2703},{""type"":""CU"",""prob"":0.1606}]",FF,1,95.3,False,0.7284,1.308
2026-04-20T00:04:41Z,2,bottom,702222,Justin Crawford,656550,Grant Holmes,2,2,empty,2,SL,0.3934,"[{""type"":""SL"",""prob"":0.3934},{""type"":""FF"",""prob"":0.2725},{""type"":""CU"",""prob"":0.1697}]",SL,7,85.5,True,0.4813,0.9328
2026-04-20T00:07:30Z,3,top,671739,Michael Harris II,691725,Andrew Painter,0,0,empty,0,FF,0.3873,"[{""type"":""FF"",""prob"":0.3873},{""type"":""FS"",""prob"":0.2001},{""type"":""SI"",""prob"":0.1302}]",FF,11,95.3,True,0.4517,0.9484
2026-04-20T00:07:42Z,3,top,671739,Michael Harris II,691725,Andrew Painter,1,0,empty,0,FF,0.4941,"[{""type"":""FF"",""prob"":0.4941},{""type"":""FS"",""prob"":0.1613},{""type"":""SI"",""prob"":0.128}]",SL,11,85.8,False,1.1325,2.4878
2026-04-20T00:08:06Z,3,top,671739,Michael Harris II,691725,Andrew Painter,1,1,empty,0,FF,0.4486,"[{""type"":""FF"",""prob"":0.4486},{""type"":""FS"",""prob"":0.1745},{""type"":""SL"",""prob"":0.1488}]",FF,12,95.9,True,0.3708,0.8015
2026-04-20T00:08:06Z,3,top,671739,Michael Harris II,691725,Andrew Painter,1,1,empty,0,FF,0.4486,"[{""type"":""FF"",""prob"":0.4486},{""type"":""FS"",""prob"":0.1745},{""type"":""SL"",""prob"":0.1488}]",ST,3,80.1,False,1.1592,2.9105
2026-04-20T00:08:55Z,3,top,660670,Ronald Acuña Jr.,691725,Andrew Painter,0,0,empty,0,FF,0.3485,"[{""type"":""FF"",""prob"":0.3485},{""type"":""SI"",""prob"":0.2145},{""type"":""SL"",""prob"":0.1635}]",SI,11,95.0,False,0.7882,1.5394
2026-04-20T00:09:07Z,3,top,660670,Ronald Acuña Jr.,691725,Andrew Painter,0,1,empty,0,FF,0.3347,"[{""type"":""FF"",""prob"":0.3347},{""type"":""ST"",""prob"":0.1861},{""type"":""SL"",""prob"":0.1479}]",SI,4,95.3,False,0.9133,1.923
2026-04-20T00:09:31Z,3,top,660670,Ronald Acuña Jr.,691725,Andrew Painter,0,2,empty,0,FF,0.3164,"[{""type"":""FF"",""prob"":0.3164},{""type"":""SI"",""prob"":0.1989},{""type"":""ST"",""prob"":0.1695}]",FF,12,96.2,True,0.5652,1.1507
2026-04-20T00:09:43Z,3,top,660670,Ronald Acuña Jr.,691725,Andrew Painter,1,2,empty,0,FF,0.3512,"[{""type"":""FF"",""prob"":0.3512},{""type"":""SI"",""prob"":0.2092},{""type"":""ST"",""prob"":0.1525}]",SL,14,89.3,False,1.01,2.2836
2026-04-20T00:09:55Z,3,top,660670,Ronald Acuña Jr.,691725,Andrew Painter,2,2,empty,0,FF,0.4309,"[{""type"":""FF"",""prob"":0.4309},{""type"":""SI"",""prob"":0.1773},{""type"":""SL"",""prob"":0.1472}]",SI,11,94.8,False,0.9005,1.7298
2026-04-20T00:10:19Z,3,top,686948,Drake Baldwin,691725,Andrew Painter,0,0,empty,1,FF,0.4947,"[{""type"":""FF"",""prob"":0.4947},{""type"":""FS"",""prob"":0.1467},{""type"":""SI"",""prob"":0.1405}]",FF,3,95.8,True,0.3095,0.7038
2026-04-20T00:10:56Z,3,top,686948,Drake Baldwin,691725,Andrew Painter,0,1,empty,1,FF,0.4963,"[{""type"":""FF"",""prob"":0.4963},{""type"":""FS"",""prob"":0.1704},{""type"":""SL"",""prob"":0.1245}]",CU,14,81.4,False,1.2034,3.0039
2026-04-20T00:10:56Z,3,top,686948,Drake Baldwin,691725,Andrew Painter,0,1,empty,1,FF,0.4963,"[{""type"":""FF"",""prob"":0.4963},{""type"":""FS"",""prob"":0.1704},{""type"":""SL"",""prob"":0.1245}]",FF,3,95.3,True,0.31,0.7006
2026-04-20T00:11:32Z,3,top,621566,Matt Olson,691725,Andrew Painter,0,0,empty,2,FF,0.5115,"[{""type"":""FF"",""prob"":0.5115},{""type"":""FS"",""prob"":0.1539},{""type"":""SL"",""prob"":0.097}]",CU,8,79.6,False,1.1453,2.4899
2026-04-20T00:11:56Z,3,top,621566,Matt Olson,691725,Andrew Painter,0,1,empty,2,FF,0.4775,"[{""type"":""FF"",""prob"":0.4775},{""type"":""FS"",""prob"":0.1741},{""type"":""CU"",""prob"":0.114}]",FF,13,95.1,True,0.3315,0.7392
2026-04-20T00:12:08Z,3,top,621566,Matt Olson,691725,Andrew Painter,1,1,empty,2,FF,0.5095,"[{""type"":""FF"",""prob"":0.5095},{""type"":""FS"",""prob"":0.1773},{""type"":""SL"",""prob"":0.1056}]",FS,4,87.1,False,0.9591,1.7301
2026-04-20T00:12:20Z,3,top,621566,Matt Olson,691725,Andrew Painter,1,2,empty,2,FF,0.472,"[{""type"":""FF"",""prob"":0.472},{""type"":""FS"",""prob"":0.1569},{""type"":""CU"",""prob"":0.1052}]",SL,14,82.8,False,1.0693,2.2546
2026-04-20T00:14:58Z,3,bottom,607208,Trea Turner,656550,Grant Holmes,0,0,empty,0,SL,0.3548,"[{""type"":""SL"",""prob"":0.3548},{""type"":""FF"",""prob"":0.285},{""type"":""CU"",""prob"":0.1146}]",FF,2,94.8,False,0.6716,1.2551
2026-04-20T00:15:22Z,3,bottom,607208,Trea Turner,656550,Grant Holmes,0,1,empty,0,SL,0.3912,"[{""type"":""SL"",""prob"":0.3912},{""type"":""FF"",""prob"":0.3309},{""type"":""CU"",""prob"":0.128}]",SI,11,92.2,False,1.19,3.0333
2026-04-20T00:15:34Z,3,bottom,607208,Trea Turner,656550,Grant Holmes,1,1,empty,0,SL,0.3529,"[{""type"":""SL"",""prob"":0.3529},{""type"":""FF"",""prob"":0.3186},{""type"":""CU"",""prob"":0.1125}]",CU,13,83.4,False,1.0308,2.1852
2026-04-20T00:15:58Z,3,bottom,607208,Trea Turner,656550,Grant Holmes,2,1,empty,0,SL,0.3401,"[{""type"":""SL"",""prob"":0.3401},{""type"":""FF"",""prob"":0.2896},{""type"":""SI"",""prob"":0.1417}]",SI,7,93.6,False,0.9589,1.9542
2026-04-20T00:16:22Z,3,bottom,656941,Kyle Schwarber,656550,Grant Holmes,0,0,empty,1,SL,0.2957,"[{""type"":""SL"",""prob"":0.2957},{""type"":""FF"",""prob"":0.2522},{""type"":""CU"",""prob"":0.2004}]",SL,14,84.0,True,0.6207,1.2185
2026-04-20T00:16:47Z,3,bottom,656941,Kyle Schwarber,656550,Grant Holmes,1,0,empty,1,SL,0.3102,"[{""type"":""SL"",""prob"":0.3102},{""type"":""FF"",""prob"":0.2826},{""type"":""CU"",""prob"":0.1801}]",FF,2,95.3,False,0.6612,1.2636
2026-04-20T00:17:11Z,3,bottom,547180,Bryce Harper,656550,Grant Holmes,0,0,empty,2,SL,0.3025,"[{""type"":""SL"",""prob"":0.3025},{""type"":""FF"",""prob"":0.2748},{""type"":""CU"",""prob"":0.1805}]",CU,13,83.9,False,0.8585,1.712
2026-04-20T00:17:35Z,3,bottom,547180,Bryce Harper,656550,Grant Holmes,0,1,empty,2,SL,0.3376,"[{""type"":""SL"",""prob"":0.3376},{""type"":""FF"",""prob"":0.2749},{""type"":""CU"",""prob"":0.208}]",CU,14,83.9,False,0.8272,1.5702
2026-04-20T00:17:59Z,3,bottom,547180,Bryce Harper,656550,Grant Holmes,0,2,empty,2,SL,0.3864,"[{""type"":""SL"",""prob"":0.3864},{""type"":""FF"",""prob"":0.2555},{""type"":""CU"",""prob"":0.1815}]",CU,13,84.5,False,0.895,1.7066
2026-04-20T00:18:23Z,3,bottom,547180,Bryce Harper,656550,Grant Holmes,1,2,empty,2,SL,0.3526,"[{""type"":""SL"",""prob"":0.3526},{""type"":""FF"",""prob"":0.2718},{""type"":""CU"",""prob"":0.202}]",FF,4,95.8,False,0.7055,1.3028
2026-04-20T00:19:12Z,3,bottom,666969,Adolis García,656550,Grant Holmes,0,0,1B,2,SL,0.3462,"[{""type"":""SL"",""prob"":0.3462},{""type"":""FF"",""prob"":0.2199},{""type"":""SI"",""prob"":0.1901}]",SI,5,94.8,False,0.846,1.6602
2026-04-20T00:19:48Z,3,bottom,666969,Adolis García,656550,Grant Holmes,0,1,1B,2,SL,0.3607,"[{""type"":""SL"",""prob"":0.3607},{""type"":""FF"",""prob"":0.2531},{""type"":""CU"",""prob"":0.1639}]",SL,14,85.2,True,0.5219,1.0197
2026-04-20T00:20:00Z,3,bottom,666969,Adolis García,656550,Grant Holmes,0,2,1B,2,SL,0.4339,"[{""type"":""SL"",""prob"":0.4339},{""type"":""FF"",""prob"":0.2237},{""type"":""CU"",""prob"":0.139}]",SL,14,84.9,True,0.4074,0.835
2026-04-20T00:20:37Z,3,bottom,666969,Adolis García,656550,Grant Holmes,1,2,1B,2,SL,0.4069,"[{""type"":""SL"",""prob"":0.4069},{""type"":""FF"",""prob"":0.2196},{""type"":""CU"",""prob"":0.1376}]",FF,11,94.6,False,0.8161,1.516
2026-04-20T00:20:49Z,3,bottom,666969,Adolis García,656550,Grant Holmes,2,2,1B,2,SL,0.4258,"[{""type"":""SL"",""prob"":0.4258},{""type"":""FF"",""prob"":0.2129},{""type"":""CU"",""prob"":0.1403}]",SL,14,85.7,True,0.4145,0.8539
2026-04-20T00:21:13Z,3,bottom,666969,Adolis García,656550,Grant Holmes,3,2,1B,2,SL,0.3846,"[{""type"":""SL"",""prob"":0.3846},{""type"":""FF"",""prob"":0.2313},{""type"":""SI"",""prob"":0.1482}]",CU,7,84.4,False,1.0287,2.2316
2026-04-20T00:23:50Z,4,top,663586,Austin Riley,691725,Andrew Painter,0,0,empty,0,SI,0.3199,"[{""type"":""SI"",""prob"":0.3199},{""type"":""FF"",""prob"":0.2686},{""type"":""SL"",""prob"":0.1543}]",SL,1,80.6,False,0.9083,1.8686
2026-04-20T00:24:26Z,4,top,645277,Ozzie Albies,691725,Andrew Painter,0,0,empty,1,FF,0.4896,"[{""type"":""FF"",""prob"":0.4896},{""type"":""FS"",""prob"":0.1433},{""type"":""SL"",""prob"":0.1173}]",CU,8,79.2,False,1.0917,2.2955
2026-04-20T00:24:38Z,4,top,645277,Ozzie Albies,691725,Andrew Painter,0,1,empty,1,FF,0.4489,"[{""type"":""FF"",""prob"":0.4489},{""type"":""FS"",""prob"":0.178},{""type"":""CU"",""prob"":0.1137}]",CU,4,80.0,False,1.0387,2.174
2026-04-20T00:25:03Z,4,top,645277,Ozzie Albies,691725,Andrew Painter,0,2,empty,1,FF,0.4144,"[{""type"":""FF"",""prob"":0.4144},{""type"":""SL"",""prob"":0.1474},{""type"":""FS"",""prob"":0.1413}]",SL,14,87.3,False,0.9479,1.9147
2026-04-20T00:25:15Z,4,top,645277,Ozzie Albies,691725,Andrew Painter,1,2,empty,1,FF,0.414,"[{""type"":""FF"",""prob"":0.414},{""type"":""SL"",""prob"":0.152},{""type"":""CU"",""prob"":0.1352}]",SL,8,87.3,False,0.9372,1.8838
2026-04-20T00:25:52Z,4,top,645277,Ozzie Albies,691725,Andrew Painter,1,2,empty,1,FF,0.4042,"[{""type"":""FF"",""prob"":0.4042},{""type"":""SL"",""prob"":0.1816},{""type"":""CU"",""prob"":0.1376}]",FF,11,95.6,True,0.4327,0.9059
2026-04-20T00:26:04Z,4,top,645277,Ozzie Albies,691725,Andrew Painter,2,2,empty,1,FF,0.478,"[{""type"":""FF"",""prob"":0.478},{""type"":""SL"",""prob"":0.1634},{""type"":""SI"",""prob"":0.1172}]",FS,11,86.8,False,1.0841,2.284
2026-04-20T00:26:16Z,4,top,645277,Ozzie Albies,691725,Andrew Painter,3,2,empty,1,FF,0.4555,"[{""type"":""FF"",""prob"":0.4555},{""type"":""SI"",""prob"":0.1567},{""type"":""SL"",""prob"":0.1476}]",CU,11,80.1,False,1.1207,2.5878
2026-04-20T00:26:52Z,4,top,573262,Mike Yastrzemski,691725,Andrew Painter,0,0,1B,1,FF,0.4612,"[{""type"":""FF"",""prob"":0.4612},{""type"":""FS"",""prob"":0.15},{""type"":""CU"",""prob"":0.121}]",SL,11,85.7,False,1.0714,2.3005
2026-04-20T00:27:16Z,4,top,573262,Mike Yastrzemski,691725,Andrew Painter,1,0,1B,1,FF,0.4974,"[{""type"":""FF"",""prob"":0.4974},{""type"":""SL"",""prob"":0.1446},{""type"":""FS"",""prob"":0.1311}]",FF,1,93.5,True,0.3065,0.6983
2026-04-20T00:27:28Z,4,top,573262,Mike Yastrzemski,691725,Andrew Painter,1,1,1B,1,FF,0.4455,"[{""type"":""FF"",""prob"":0.4455},{""type"":""SL"",""prob"":0.1993},{""type"":""FS"",""prob"":0.1365}]",FS,8,84.8,False,0.9986,1.9914
2026-04-20T00:28:05Z,4,top,573262,Mike Yastrzemski,691725,Andrew Painter,1,2,1B,1,FF,0.4329,"[{""type"":""FF"",""prob"":0.4329},{""type"":""SL"",""prob"":0.1643},{""type"":""FS"",""prob"":0.1473}]",SL,9,87.1,False,0.9286,1.8061
2026-04-20T00:28:53Z,4,top,642086,Dominic Smith,691725,Andrew Painter,0,0,"2B,3B",1,FF,0.5145,"[{""type"":""FF"",""prob"":0.5145},{""type"":""SL"",""prob"":0.1463},{""type"":""FS"",""prob"":0.1209}]",SL,5,87.0,False,1.0239,1.9224
2026-04-20T00:29:05Z,4,top,642086,Dominic Smith,691725,Andrew Painter,0,1,"2B,3B",1,FF,0.4792,"[{""type"":""FF"",""prob"":0.4792},{""type"":""SL"",""prob"":0.173},{""type"":""FS"",""prob"":0.1607}]",FS,4,86.3,False,0.9736,1.828
2026-04-20T00:29:42Z,4,top,642086,Dominic Smith,691725,Andrew Painter,0,2,"2B,3B",1,FF,0.417,"[{""type"":""FF"",""prob"":0.417},{""type"":""SL"",""prob"":0.2122},{""type"":""FS"",""prob"":0.1801}]",FS,14,87.5,False,0.9016,1.7141
2026-04-20T00:30:06Z,4,top,642086,Dominic Smith,691725,Andrew Painter,1,2,"2B,3B",1,FF,0.4431,"[{""type"":""FF"",""prob"":0.4431},{""type"":""FS"",""prob"":0.1742},{""type"":""SL"",""prob"":0.1612}]",SI,12,96.0,False,1.1096,2.5446
2026-04-20T00:30:43Z,4,top,642086,Dominic Smith,691725,Andrew Painter,2,2,"2B,3B",1,FF,0.4765,"[{""type"":""FF"",""prob"":0.4765},{""type"":""SL"",""prob"":0.1764},{""type"":""FS"",""prob"":0.1294}]",CU,8,81.3,False,1.1597,2.7192
2026-04-20T00:31:07Z,4,top,642086,Dominic Smith,691725,Andrew Painter,2,2,"2B,3B",1,FF,0.4763,"[{""type"":""FF"",""prob"":0.4763},{""type"":""SL"",""prob"":0.1642},{""type"":""FS"",""prob"":0.1272}]",FF,12,96.9,True,0.3358,0.7417
2026-04-20T00:31:31Z,4,top,642086,Dominic Smith,691725,Andrew Painter,2,2,"2B,3B",1,FF,0.5075,"[{""type"":""FF"",""prob"":0.5075},{""type"":""SL"",""prob"":0.1407},{""type"":""FS"",""prob"":0.1289}]",FS,7,87.0,False,1.0533,2.0488
