player_id,name,position,projected_war,marcel_war,statcast_adjustment,tj_adjustment,role_change_adjustment,age,prior_3yr_war,prior_3yr_pa_or_ip,actual_war
693433,Bryan Woo,pitcher,0.838,0.838,0.0,0.0,0.0,24.0,0.53,87.2,2.38
593974,Wandy Peralta,pitcher,0.835,0.835,0.0,0.0,0.0,32.0,3.37,170.0,0.37
663623,Jake Irvin,pitcher,0.832,0.832,0.0,0.0,0.0,27.0,0.96,121.0,1.91
686973,Louis Varland,pitcher,0.831,0.331,0.5,0.0,0.0,26.0,0.95,94.2,-1.33
694384,Nolan Schanuel,batter,0.828,0.828,0.0,0.0,0.0,22.0,0.08,132.0,1.21
650391,Eloy Jiménez,batter,0.826,0.826,0.0,0.0,0.0,27.0,3.08,1064.0,-0.8
643511,Tyler Rogers,pitcher,0.826,1.206,-0.38,0.0,0.0,33.0,4.98,233.3,1.5
694497,Evan Carter,batter,0.822,1.322,-0.5,0.0,0.0,21.0,1.59,147.0,0.7
628452,Raisel Iglesias,pitcher,0.815,1.129,-0.314,0.0,0.0,34.0,5.41,191.1,2.86
666808,Camilo Doval,pitcher,0.812,1.071,-0.258,0.0,0.0,26.0,3.84,164.6,-0.49
664728,Kyle Isbel,batter,0.808,0.808,0.0,0.0,0.0,27.0,3.07,674.0,1.99
687952,Christian Encarnacion-Strand,batter,0.806,0.806,0.0,0.0,0.0,24.0,0.45,241.0,-1.04
621438,Tyrone Taylor,batter,0.804,0.804,0.0,0.0,0.0,30.0,4.33,929.0,1.98
592094,Jason Adam,pitcher,0.804,0.804,0.0,0.0,0.0,32.0,3.32,129.4,2.59
669394,Jake Burger,batter,0.798,0.798,0.0,0.0,0.0,28.0,2.85,772.0,0.84
547179,Michael Lorenzen,pitcher,0.797,0.797,0.0,0.0,0.0,32.0,2.62,281.4,2.46
643289,Mauricio Dubón,batter,0.796,0.796,0.0,0.0,0.0,29.0,2.96,970.0,0.97
665804,Miguel Amaya,batter,0.792,0.49,0.302,0.0,0.0,25.0,0.33,156.0,1.95
686681,Michael Massey,batter,0.79,0.418,0.373,0.0,0.0,26.0,0.73,655.0,1.69
594902,Ben Lively,pitcher,0.786,0.286,0.5,0.0,0.0,32.0,0.42,88.2,1.42
548389,Ross Stripling,pitcher,0.783,0.783,0.0,0.0,0.0,34.0,3.72,324.2,-1.1
676710,Kutter Crawford,pitcher,0.782,0.782,0.0,0.0,0.0,28.0,2.41,208.2,1.53
669467,Andre Pallante,pitcher,0.782,0.782,0.0,0.0,0.0,25.0,1.76,176.2,1.55
669397,Nick Allen,batter,0.77,0.77,0.0,0.0,0.0,25.0,1.26,655.0,0.23
608678,Dominic Leone,pitcher,0.77,0.436,0.334,0.0,0.0,32.0,2.48,158.2,-0.66
671737,Taj Bradley,pitcher,0.769,0.269,0.5,0.0,0.0,23.0,-0.35,104.2,1.7
660813,Brusdar Graterol,pitcher,0.764,1.089,-0.325,0.0,0.0,25.0,3.05,163.2,0.12
650911,Cristopher Sánchez,pitcher,0.754,0.598,0.456,0.0,-0.3,27.0,1.87,153.4,3.79
661269,Vladimir Gutiérrez,pitcher,0.749,0.249,0.5,0.0,0.0,28.0,1.17,150.2,-0.09
672284,Jarred Kelenic,batter,0.742,0.742,0.0,0.0,0.0,24.0,0.24,992.0,0.44
650556,Bryan Abreu,pitcher,0.74,0.994,-0.254,0.0,0.0,27.0,2.87,187.3,1.76
592273,Brandon Drury,batter,0.74,1.24,-0.5,0.0,0.0,31.0,4.87,1210.0,-2.06
663611,Nick Madrigal,batter,0.738,0.738,0.0,0.0,0.0,27.0,3.07,737.0,-0.43
664854,Ryan Helsley,pitcher,0.733,1.04,-0.307,0.0,0.0,29.0,4.0,148.5,2.81
682641,Luis Matos,batter,0.731,0.731,0.0,0.0,0.0,22.0,-0.37,253.0,-0.17
624641,Edmundo Sosa,batter,0.731,1.067,-0.336,0.0,0.0,28.0,5.2,831.0,2.21
681190,Randy Vásquez,pitcher,0.725,0.725,0.0,0.0,0.0,25.0,1.02,37.2,0.5
670770,TJ Friedl,batter,0.721,1.221,-0.5,0.0,0.0,28.0,4.0,850.0,0.52
