season,team_id,game_pk,n_bip,actual_outs,expected_outs,n_feature_rows,dpi
2015,LAD,413921,20,15,15.085618326706035,20,-0.086
2015,KC,413920,24,16,17.034116338549893,24,-1.034
2015,HOU,413919,28,21,18.12033144902268,26,2.88
2015,ATH,413919,29,18,20.655164465399093,29,-2.655
2015,DET,413918,32,22,22.62104027798901,31,-0.621
2015,CIN,413917,23,16,15.58853997558751,23,0.411
2015,CHC,413917,24,18,16.670282329586108,24,1.33
2015,BOS,413916,40,19,24.335498550523205,40,-5.335
2015,BAL,413916,34,24,22.829420976145915,34,1.171
2015,PHI,413915,32,22,21.506949787852733,32,0.493
2015,ATL,413915,27,20,15.677323816132374,24,4.323
2015,MIA,413914,26,19,16.996980587888384,25,2.003
2015,WSH,413914,24,12,13.858838254373453,24,-1.859
2015,TB,413913,22,16,14.623560844388793,21,1.376
2015,TEX,413912,24,16,14.235660146322656,23,1.764
2015,MIL,413911,28,19,19.207912589924618,27,-0.208
2015,SF,413910,39,27,17.062654005398866,26,9.937
2015,COL,413910,34,22,13.609942767727814,22,8.39
2015,AZ,413909,24,16,17.58289925767438,24,-1.583
2015,NYM,413908,24,19,0.0,0,0.0
2015,NYY,413908,34,21,0.0,0,0.0
2015,SEA,413907,29,17,18.140548848630782,29,-1.141
2015,MIN,413907,28,20,17.670453397395733,28,2.33
2015,SD,413906,35,22,19.58617886784423,32,2.414
2015,LAD,413906,25,17,16.54579356748559,25,0.454
2015,HOU,413904,24,18,16.543751719492448,23,1.456
2015,ATH,413904,34,21,20.492500524067676,34,0.507
2015,CLE,413903,22,13,13.884139992578362,22,-0.884
2015,BAL,413901,29,21,19.039969759225553,28,1.96
2015,BOS,413901,35,24,22.745502656046998,33,1.254
2015,PHI,413900,29,20,17.692521955683663,28,2.307
2015,ATL,413900,28,22,18.283023928682844,27,3.717
2015,MIA,413899,27,21,19.090356114248035,27,1.91
2015,WSH,413899,26,17,18.008482815719468,26,-1.008
2015,TB,413898,25,19,17.639952919425035,25,1.36
2015,TOR,413898,32,18,21.382273081077173,32,-3.382
2015,LAA,413897,21,18,16.40022454440595,20,1.6
2015,STL,413896,20,15,14.340392019340422,20,0.66
2015,MIL,413896,26,18,18.405379635712137,26,-0.405
2015,SF,413895,34,19,22.122344469454436,34,-3.122
2015,COL,413895,30,18,19.735160311011157,30,-1.735
2015,AZ,413894,28,21,18.886016479496412,28,2.114
2015,NYY,413893,24,18,17.877712858520926,23,0.122
2015,SEA,413892,23,18,17.485441458390305,23,0.515
2015,MIN,413892,21,14,11.945218643004335,21,2.055
2015,LAD,413891,23,17,16.700857116066125,23,0.299
2015,SD,413891,27,19,18.874250268230846,27,0.126
2015,KC,413890,28,19,17.69011269126102,27,1.31
2015,HOU,413889,34,26,26.222181036142977,34,-0.222
2015,ATH,413889,32,21,18.52063130589509,31,2.479
2015,DET,413888,37,22,20.366937822478466,35,1.633
2015,CIN,413887,28,19,17.15254532804402,26,1.847
2015,CHC,413887,24,16,15.587148701521649,23,0.413
2015,BOS,413886,25,14,14.228035958978912,24,-0.228
2015,BAL,413886,34,21,22.423395020863158,34,-1.423
2015,ATL,413885,33,22,23.774691370630748,31,-1.775
2015,COL,413883,24,17,18.39610140031466,24,-1.396
2015,LAA,413882,27,19,19.827178459947312,27,-0.827
2015,ATH,413882,22,20,16.758041440229523,21,3.242
2015,DET,413881,19,16,13.427517399063417,17,2.572
2015,NYY,413881,20,17,15.447336216217408,20,1.553
2015,MIA,413880,26,18,17.209164314157626,26,0.791
2015,SF,413879,28,22,17.207425402841448,27,4.793
2015,KC,413878,32,24,22.750985604220304,32,1.249
2015,CWS,413878,40,27,28.083394464951393,40,-1.083
2015,CIN,413877,25,15,12.297744170607688,21,2.702
2015,MIL,413877,21,17,14.794255729848535,21,2.206
2015,CHC,413876,27,17,17.608099057063068,26,-0.608
2015,TB,413875,26,22,21.336088454438006,26,0.664
2015,BOS,413875,21,15,13.378186109905055,19,1.622
2015,TOR,413874,26,18,16.63889073460316,26,1.361
2015,BAL,413874,23,16,14.237417927875272,22,1.763
2015,NYM,413873,25,17,16.392734896719368,25,0.607
2015,ATL,413873,17,11,9.59142490075658,16,1.409
2015,TEX,413872,26,16,17.423822911939272,25,-1.424
2015,WSH,413871,30,18,18.346511667607736,29,-0.347
2015,STL,413871,27,18,17.961244915376064,26,0.039
2015,SD,413870,24,13,14.529334074170851,24,-1.529
2015,COL,413870,29,22,20.068514997508853,29,1.931
2015,LAA,413869,38,20,22.349395818604087,36,-2.349
2015,NYY,413868,23,16,15.961898168649126,22,0.038
2015,DET,413868,36,21,20.805248289976166,35,0.195
2015,MIN,413867,26,20,16.866996835959654,23,3.133
2015,KC,413867,27,17,16.28222683073302,25,0.718
2015,MIA,413866,23,18,15.82122992560049,22,2.179
2015,PHI,413866,30,18,20.023000736187996,30,-2.023
2015,SF,413865,25,17,16.435151160766477,25,0.565
2015,HOU,413864,26,19,17.902710141406306,26,1.097
2015,SEA,413864,29,19,17.853130831325338,29,1.147
2015,CWS,413863,28,20,19.191558971100346,28,0.808
2015,CLE,413863,27,13,15.097831586749756,27,-2.098
2015,CIN,413862,22,17,15.85399858238821,21,1.146
2015,CHC,413861,24,15,18.6660943531829,24,-3.666
2015,PIT,413861,29,19,19.114417488475905,28,-0.114
2015,BOS,413860,23,11,14.752904742306763,23,-3.753
2015,BAL,413859,23,13,14.053563331051407,21,-1.054
2015,TOR,413859,22,17,15.419324982643499,22,1.581
2015,ATL,413858,25,18,18.725836277189096,25,-0.726
2015,NYM,413858,29,21,19.940724489454766,29,1.059
2015,AZ,413857,32,22,25.181254319399997,31,-3.181
2015,WSH,413856,32,19,19.80394862286133,30,-0.804
2015,STL,413856,23,14,12.026801580958212,21,1.973
2015,COL,413855,31,18,18.4904995204492,30,-0.49
2015,SD,413855,28,21,21.00275046150012,27,-0.003
2015,ATH,413854,31,15,16.371553195310927,31,-1.372
2015,NYY,413853,24,14,14.331968934655592,24,-0.332
2015,DET,413853,29,20,19.83586787789257,28,0.164
2015,MIA,413851,23,16,0.0,0,0.0
2015,PHI,413851,26,15,0.0,0,0.0
2015,LAD,413850,29,16,16.752534681233602,28,-0.753
2015,SF,413850,24,17,16.968431236981388,24,0.032
2015,SEA,413849,23,13,0.0,0,0.0
2015,HOU,413849,24,17,0.0,0,0.0
2015,CLE,413848,20,11,12.513191622905431,20,-1.513
2015,CWS,413848,26,19,18.733777746722286,25,0.266
2015,CHC,413846,27,18,18.81658186717701,27,-0.817
2015,BOS,413845,23,19,17.008356681856206,23,1.992
2015,TOR,413844,33,20,22.530687812055188,33,-2.531
2015,BAL,413844,37,21,21.07436439058814,37,-0.074
2015,ATL,413843,33,22,23.576213686337134,33,-1.576
2015,NYM,413843,24,18,16.389232281074285,23,1.611
2015,SD,413842,28,19,20.20514402189997,28,-1.205
2015,LAA,413841,28,20,17.833315337043196,27,2.167
2015,DET,413840,24,17,17.152194896219044,22,-0.152
2015,NYY,413840,21,14,13.576133356268203,20,0.424
2015,SEA,413838,27,17,15.168985288741366,26,1.831
2015,CLE,413837,24,14,17.407673181371777,24,-3.408
2015,CWS,413837,26,20,18.094318817658806,24,1.906
2015,CIN,413836,24,19,18.2574413196945,23,0.743
2015,MIL,413836,28,19,18.91660396856496,28,0.083
2015,CHC,413835,23,17,16.506964333286277,23,0.493
2015,PIT,413835,34,20,23.451076653572724,34,-3.451
2015,BAL,413834,21,14,13.974084957886202,20,0.026
2015,BOS,413834,17,13,12.138156327663202,16,0.862
2015,TEX,413833,35,18,22.028042649888572,35,-4.028
2015,SEA,413833,36,21,22.673952508189327,34,-1.674
2015,SD,413832,27,19,20.448499932071417,26,-1.448
2015,WSH,413831,26,19,17.616069072670225,25,1.384
2015,PHI,413831,28,19,17.16821192155413,26,1.832
2015,KC,413830,23,16,17.37910003544068,23,-1.379
2015,ATH,413830,26,18,17.45305965712247,26,0.547
2015,TB,413829,30,19,19.63792122851781,29,-0.638
2015,MIL,413828,26,18,18.372419740847086,26,-0.372
2015,PIT,413828,23,16,16.632258450548555,23,-0.632
2015,NYM,413827,29,18,19.209192271704655,28,-1.209
2015,MIA,413827,25,17,16.513733019331237,25,0.486
2015,CLE,413825,30,18,18.91773708476894,30,-0.918
2015,MIN,413825,28,20,19.186181452687855,28,0.814
2015,STL,413824,30,22,21.75357814174441,30,0.246
2015,CIN,413824,24,20,15.555961649052344,24,4.444
2015,DET,413823,24,18,16.939124494904025,24,1.061
2015,CWS,413823,30,18,18.812214103528632,29,-0.812
2015,BOS,413822,31,16,19.10238713749727,30,-3.102
2015,BAL,413822,26,20,15.353382152268258,25,4.647
2015,ATL,413821,19,14,14.224849734110744,19,-0.225
2015,TOR,413821,26,18,15.576939566103094,24,2.423
2015,AZ,413820,29,21,19.52270745523123,29,1.477
2015,SF,413820,28,20,17.7611318563093,27,2.239
2015,HOU,413819,28,20,20.20635824518521,28,-0.206
2015,SEA,413818,14,12,7.4516866404159465,9,4.548
2015,TEX,413818,25,14,12.043956841806914,19,1.956
2015,WSH,413816,30,22,15.192411314257692,24,6.808
2015,PHI,413816,26,17,13.60318424855202,20,3.397
2015,KC,413815,28,20,18.168666363789562,28,1.831
2015,ATH,413815,26,19,18.346091238864435,26,0.654
2015,NYY,413814,20,17,14.884051178786661,20,2.116
2015,TB,413814,25,15,16.28518982969012,25,-1.285
2015,MIL,413813,25,18,17.867081333471223,25,0.133
2015,PIT,413813,23,18,16.726073317029833,23,1.274
2015,MIA,413812,28,18,19.10364207069455,28,-1.104
2015,NYM,413812,24,13,13.564068609722284,21,-0.564
2015,COL,413811,24,15,15.233969106651521,23,-0.234
2015,CLE,413810,17,11,10.948861492008227,17,0.051
2015,STL,413809,30,21,18.035113216518084,28,2.965
2015,CIN,413809,32,21,19.903785780784013,31,1.096
2015,CWS,413808,27,20,17.73929880252607,25,2.261
2015,DET,413808,37,20,21.16660090952107,34,-1.167
2015,BOS,413807,31,18,17.91052564148516,27,0.089
2015,BAL,413807,22,14,12.180093713403947,18,1.82
2015,ATL,413806,35,22,22.585877235684954,35,-0.586
2015,TOR,413806,28,19,17.960929505080077,26,1.039
2015,SF,413805,24,18,17.35880708931883,23,0.641
2015,LAA,413804,17,13,13.187167111174023,17,-0.187
2015,HOU,413804,17,14,11.9439113558355,17,2.056
2015,TEX,413803,27,19,15.770513913057032,24,3.229
2015,CHC,413802,27,18,16.842706844800162,27,1.157
2015,ATH,413800,32,17,20.790851171197993,31,-3.791
2015,KC,413800,30,22,18.525040458223582,28,3.475
2015,NYY,413799,25,17,15.253436109261104,25,1.747
2015,TB,413799,22,17,16.3265911168392,22,0.673
2015,MIL,413798,26,15,15.103185181546527,25,-0.103
2015,MIA,413797,26,19,17.460727802883923,25,1.539
2015,NYM,413797,26,19,16.563132295669604,25,2.437
2015,COL,413796,24,14,13.704385449538783,21,0.296
2015,MIN,413795,30,22,20.82583741591276,29,1.174
2015,CLE,413795,27,21,17.338949140937842,25,3.661
2015,STL,413794,27,20,17.953980570396617,26,2.046
2015,DET,413793,21,17,14.98968899757603,20,2.01
2015,BAL,413792,22,18,16.084021724765847,20,1.916
2015,BOS,413792,24,18,18.97726500032776,24,-0.977
2015,ATL,413791,30,19,16.961526285486165,29,2.038
2015,TOR,413791,32,19,19.913788006371544,30,-0.914
2015,AZ,413790,28,24,14.265225589514882,19,9.735
2015,SF,413790,37,19,19.082572101488072,31,-0.083
2015,TOR,413788,25,16,17.96167111896497,25,-1.962
2015,STL,413786,24,17,16.088423687616128,23,0.912
2015,MIA,413785,26,17,17.92371640903909,25,-0.924
2015,NYM,413785,22,15,15.166572214559517,22,-0.167
2015,KC,413784,36,21,24.45134126780953,36,-3.451
2015,SF,413783,39,28,12.506204168266482,18,15.494
2015,AZ,413783,36,25,12.571213537592811,17,12.429
2015,BOS,413782,33,21,21.582977955539768,33,-0.583
2015,TB,413781,31,17,20.037767137698257,29,-3.038
2015,TOR,413781,31,20,20.80523648086841,30,-0.805
2015,SEA,413780,24,15,15.254691865999696,24,-0.255
2015,LAD,413780,27,18,16.50687925349253,27,1.493
2015,PHI,413779,35,23,19.883074403703237,32,3.117
2015,NYY,413777,27,12,13.592743947521194,25,-1.593
2015,BAL,413777,22,14,14.792800705686929,22,-0.793
2015,STL,413776,32,21,23.25302737486964,32,-2.253
2015,MIL,413776,30,20,21.233062674541877,30,-1.233
2015,ATL,413775,27,19,16.691253673390495,25,2.309
2015,KC,413774,22,16,16.497660492986274,22,-0.498
2015,MIN,413774,29,20,19.541313601025617,29,0.459
2015,PIT,413773,20,15,13.265131507952443,20,1.735
2015,DET,413773,25,23,20.592880852886534,25,2.407
2015,SF,413772,24,17,15.125163688891224,23,1.875
2015,COL,413772,26,19,18.098737765910144,26,0.901
2015,CHC,413771,22,18,16.88700514684619,21,1.113
2015,CWS,413770,23,15,11.565171435110082,17,3.435
2015,SD,413769,25,16,14.780314700457993,24,1.22
2015,TEX,413768,34,21,22.89725065666805,34,-1.897
2015,LAA,413768,26,20,18.88641441518773,26,1.114
2015,BOS,413767,25,15,16.50319500142102,25,-1.503
2015,TB,413766,31,23,21.014319364408216,31,1.986
2015,TOR,413766,22,15,14.356327618945674,21,0.644
2015,SEA,413765,30,17,6.182338099082036,10,10.818
2015,LAD,413765,25,15,8.237861016369818,12,6.762
2015,NYM,413764,22,15,14.538077692637707,21,0.462
2015,BAL,413762,24,17,16.0534223541438,23,0.947
2015,NYY,413762,22,13,16.296893436775115,22,-3.297
2015,ATL,413761,29,18,18.885862831987314,27,-0.886
2015,MIA,413761,29,21,21.49975282998775,29,-0.5
2015,PIT,413760,25,16,13.757153806949187,22,2.243
2015,DET,413760,26,23,18.630628240949598,25,4.369
2015,SF,413759,28,19,10.125986147132954,17,8.874
2015,CHC,413758,25,18,17.966925580507805,25,0.033
2015,CIN,413758,22,17,16.778037885046224,22,0.222
2015,CWS,413757,17,12,11.270743819459188,17,0.729
2015,CLE,413757,28,20,18.607215445133406,27,1.393
2015,SD,413756,24,20,6.1390078485560835,8,13.861
2015,AZ,413756,24,16,6.26196431124359,9,9.738
2015,TEX,413755,31,24,21.721470727840817,31,2.279
2015,LAA,413755,27,16,19.52066774954745,27,-3.521
2015,WSH,413754,33,19,21.76488977696548,33,-2.765
2015,TB,413753,24,22,16.05255017508546,23,5.947
2015,LAD,413752,20,14,12.024460908770967,20,1.976
2015,SEA,413752,31,22,22.116175733274716,31,-0.116
2015,PHI,413751,28,22,21.669032484050177,28,0.331
