player_id,name,position,projected_war,marcel_war,statcast_adjustment,age,prior_3yr_war,prior_3yr_pa_or_ip,actual_war
455119,Chris Martin,pitcher,-1.458,-1.458,0.0,38.0,4.58,156.3,0.12
519008,T. J. McFarland,pitcher,-1.477,-1.977,0.5,35.0,0.02,72.5,0.58
467793,Carlos Santana,batter,-1.491,-1.491,0.0,38.0,3.63,1817.0,2.49
519293,Will Smith,pitcher,-1.497,-1.237,-0.26,34.0,0.97,198.2,-0.91
605154,John Brebbia,pitcher,-1.524,-1.024,-0.5,34.0,1.39,124.2,-0.47
518735,Yasmani Grandal,batter,-1.564,-1.564,0.0,35.0,1.76,1174.0,0.67
542882,Matt Andriese,pitcher,-1.572,-1.572,0.0,34.0,-0.56,48.1,-0.1
519326,Hunter Strickland,pitcher,-1.573,-1.573,0.0,35.0,0.89,123.1,1.0
444482,David Peralta,batter,-1.575,-1.575,0.0,36.0,2.51,1457.0,0.83
595014,Blake Treinen,pitcher,-1.608,-1.608,0.0,36.0,2.65,87.0,1.55
502085,David Robertson,pitcher,-1.611,-1.611,0.0,39.0,4.25,154.2,1.5
598286,Nick Ramirez,pitcher,-1.614,-1.114,-0.5,34.0,0.57,60.3,-0.24
628317,Kenta Maeda,pitcher,-1.633,-1.633,0.0,36.0,1.47,214.2,-1.66
456501,Johnny Cueto,pitcher,-1.655,-1.655,0.0,38.0,4.36,324.4,-0.18
598264,Matt Barnes,pitcher,-1.655,-1.155,-0.5,34.0,1.32,115.5,-0.24
493603,Adam Ottavino,pitcher,-1.687,-1.687,0.0,38.0,4.21,193.4,-0.03
547973,Aroldis Chapman,pitcher,-1.696,-1.696,0.0,36.0,2.66,158.3,0.37
445276,Kenley Jansen,pitcher,-1.72,-1.365,-0.355,36.0,4.16,186.2,1.22
657612,Tim Hill,pitcher,-1.735,-1.735,0.0,34.0,-0.91,153.5,0.43
457705,Andrew McCutchen,batter,-1.736,-1.736,0.0,37.0,3.49,1627.0,0.9
542585,José Cisnero,pitcher,-1.742,-1.742,0.0,35.0,0.83,145.3,-0.42
543063,Brandon Crawford,batter,-1.745,-1.745,0.0,37.0,5.52,1347.0,-0.21
607680,Kevin Pillar,batter,-1.77,-1.77,0.0,35.0,0.24,573.0,0.33
605361,Nick Martini,batter,-1.852,-1.352,-0.5,34.0,-0.12,124.0,-0.36
571578,Patrick Corbin,pitcher,-1.939,-2.268,0.329,34.0,-3.14,503.4,-0.79
606930,Jacob Barnes,pitcher,-2.107,-1.607,-0.5,34.0,-0.86,63.5,0.08
445926,Jesse Chavez,pitcher,-2.146,-2.146,0.0,40.0,2.79,146.4,0.63
518489,Ryan Brasier,pitcher,-2.173,-2.173,0.0,36.0,0.61,140.1,0.2
543351,Jay Jackson,pitcher,-2.186,-2.186,0.0,36.0,1.08,51.5,-0.61
548384,Brooks Raley,pitcher,-2.236,-1.796,-0.439,36.0,1.8,163.6,0.52
543766,Bryan Shaw,pitcher,-2.237,-2.237,0.0,36.0,0.78,180.4,-0.21
489446,Kirby Yates,pitcher,-2.243,-2.499,0.256,37.0,1.0,68.1,3.12
573204,Caleb Thielbar,pitcher,-2.26,-2.26,0.0,37.0,2.52,156.3,-0.55
502179,Paolo Espino,pitcher,-2.314,-2.67,0.356,37.0,1.18,226.3,-0.27
453568,Charlie Blackmon,batter,-2.321,-1.979,-0.342,37.0,2.62,1572.0,0.5
502624,Chase Anderson,pitcher,-2.327,-2.327,0.0,36.0,0.07,158.1,-0.66
458677,Justin Wilson,pitcher,-2.392,-2.392,0.0,36.0,0.08,37.2,-0.23
523260,Joe Kelly,pitcher,-2.433,-2.433,0.0,36.0,0.15,127.1,-0.38
448179,Rich Hill,pitcher,-2.475,-2.475,0.0,44.0,1.89,428.4,-0.01
455117,Martín Maldonado,batter,-2.533,-2.533,0.0,37.0,0.68,1331.0,-1.34
493329,Yuli Gurriel,batter,-2.631,-2.249,-0.382,40.0,2.85,1635.0,0.16
543339,Daniel Hudson,pitcher,-2.639,-2.639,0.0,37.0,1.47,78.3,0.58
472610,Luis García,pitcher,-2.7,-2.7,0.0,37.0,0.82,159.4,-0.35
518617,Jake Diekman,pitcher,-2.844,-2.844,0.0,37.0,0.28,174.6,-0.8
471911,Carlos Carrasco,pitcher,-2.966,-3.223,0.256,37.0,-0.9,295.2,-1.23
572761,Matt Carpenter,batter,-3.035,-2.535,-0.5,38.0,0.89,652.0,-0.08
572971,Dallas Keuchel,pitcher,-3.161,-3.161,0.0,36.0,-2.56,259.4,-0.02
