player_id,name,position,projected_war,marcel_war,statcast_adjustment,age,prior_3yr_war,prior_3yr_pa_or_ip
672386,Alejandro Kirk,batter,3.138,3.138,0.0,25.0,6.77,1169.0
628711,Julio Urías,pitcher,3.129,2.857,0.272,27.0,9.91,497.3
672515,Gabriel Moreno,batter,3.12,3.598,-0.479,24.0,4.93,523.0
669923,George Kirby,pitcher,3.102,3.102,0.0,26.0,5.12,328.2
641857,Ryan McMahon,batter,3.093,3.093,0.0,29.0,10.12,1820.0
672282,Reid Detmers,pitcher,3.086,3.086,0.0,24.0,4.33,297.4
641154,Pablo López,pitcher,3.056,3.056,0.0,28.0,9.3,488.4
669357,Nolan Gorman,batter,3.043,3.043,0.0,24.0,3.09,778.0
664285,Framber Valdez,pitcher,3.035,3.035,0.0,30.0,9.11,590.2
624133,Ranger Suárez,pitcher,3.032,3.032,0.0,28.0,10.31,419.2
656756,Jordan Montgomery,pitcher,3.024,3.024,0.0,31.0,9.13,557.3
593871,Jorge Polanco,batter,3.004,2.686,0.318,30.0,9.61,1458.0
668930,Brice Turang,batter,2.985,2.985,0.0,24.0,1.51,453.0
682829,Elly De La Cruz,batter,2.962,2.962,0.0,22.0,0.74,427.0
679032,Johan Rojas,batter,2.958,3.458,-0.5,23.0,2.37,209.0
662139,Daulton Varsho,batter,2.917,3.231,-0.314,27.0,10.1,1494.0
678662,Ezequiel Tovar,batter,2.915,3.215,-0.3,22.0,2.18,650.0
605397,Joe Musgrove,pitcher,2.883,2.883,0.0,31.0,9.33,477.4
668909,Gavin Williams,pitcher,2.881,3.183,-0.302,24.0,1.98,82.0
663556,Shane McClanahan,pitcher,2.873,2.873,0.0,27.0,8.74,417.1
693821,Bryce Elder,pitcher,2.85,2.85,0.0,25.0,3.67,231.1
575929,Willson Contreras,batter,2.836,2.836,0.0,32.0,11.32,1465.0
680869,Zack Gelof,batter,2.818,3.318,-0.5,24.0,2.51,300.0
678394,Brayan Bello,pitcher,2.802,2.802,0.0,25.0,3.49,214.1
664023,Ian Happ,batter,2.801,3.127,-0.326,29.0,9.41,1867.0
571448,Nolan Arenado,batter,2.781,3.238,-0.457,33.0,14.3,1897.0
681857,Reese Olson,pitcher,2.773,2.773,0.0,24.0,1.35,103.2
670623,Isaac Paredes,batter,2.749,3.249,-0.5,25.0,6.4,1049.0
677950,Alek Thomas,batter,2.744,2.744,0.0,24.0,2.44,872.0
606192,Teoscar Hernández,batter,2.716,2.716,0.0,31.0,8.82,1817.0
666200,Jesús Luzardo,pitcher,2.714,2.714,0.0,26.0,5.34,377.4
671213,Triston Casas,batter,2.708,2.708,0.0,24.0,2.34,597.0
645277,Ozzie Albies,batter,2.704,3.066,-0.361,27.0,9.6,1701.0
690986,Kyle Harrison,pitcher,2.702,2.265,0.437,22.0,0.22,34.2
669261,Jack Suwinski,batter,2.683,2.683,0.0,25.0,3.4,906.0
545361,Mike Trout,batter,2.657,2.657,0.0,32.0,10.95,1007.0
666397,Edouard Julien,batter,2.652,3.152,-0.5,25.0,2.59,430.0
668227,Randy Arozarena,batter,2.645,3.145,-0.5,29.0,10.12,1940.0
592332,Kevin Gausman,pitcher,2.642,2.642,0.0,33.0,11.68,567.1
680694,Kyle Bradish,pitcher,2.631,2.631,0.0,27.0,5.0,290.3
650402,Gleyber Torres,batter,2.63,2.63,0.0,27.0,7.67,1801.0
671106,Logan Allen,pitcher,2.625,2.625,0.0,25.0,1.72,125.1
601713,Nick Pivetta,pitcher,2.621,2.36,0.261,31.0,7.31,489.6
682626,Francisco Álvarez,batter,2.619,2.619,0.0,22.0,0.97,438.0
650490,Yandy Díaz,batter,2.61,2.88,-0.27,32.0,10.06,1733.0
666129,Braxton Garrett,pitcher,2.593,2.593,0.0,26.0,5.56,284.2
663457,Lars Nootbaar,batter,2.592,2.592,0.0,26.0,6.5,982.0
676272,Bobby Miller,pitcher,2.563,2.825,-0.262,25.0,1.96,126.0
661395,Jhoan Duran,pitcher,2.551,2.551,0.0,26.0,4.83,134.3
666185,Dylan Carlson,batter,2.55,2.55,0.0,25.0,5.47,1370.0
677592,Everson Pereira,batter,2.546,2.046,0.5,23.0,-0.61,103.0
669456,Shane Bieber,pitcher,2.518,2.518,0.0,29.0,8.0,437.3
671732,Lawrence Butler,batter,2.516,2.078,0.438,23.0,-0.54,129.0
669022,MacKenzie Gore,pitcher,2.494,2.177,0.316,25.0,2.23,206.1
663993,Nathaniel Lowe,batter,2.494,2.781,-0.287,28.0,8.43,2083.0
656555,Rhys Hoskins,batter,2.49,2.49,0.0,31.0,5.15,1188.0
606466,Ketel Marte,batter,2.463,2.82,-0.357,30.0,8.21,1661.0
680570,Grayson Rodriguez,pitcher,2.447,2.447,0.0,24.0,0.9,123.2
680977,Brendan Donovan,batter,2.444,2.444,0.0,27.0,5.84,846.0
686217,Sal Frelick,batter,2.435,2.435,0.0,24.0,1.14,232.0
621439,Byron Buxton,batter,2.425,2.425,0.0,30.0,9.53,984.0
671737,Taj Bradley,pitcher,2.423,1.923,0.5,23.0,-0.35,104.2
666971,Lourdes Gurriel,batter,2.398,2.398,0.0,30.0,7.38,1696.0
630105,Jake Cronenworth,batter,2.397,2.718,-0.32,30.0,9.51,1898.0
694497,Evan Carter,batter,2.394,2.894,-0.5,21.0,1.59,147.0
669302,Logan Gilbert,pitcher,2.39,2.39,0.0,27.0,6.85,500.3
691026,Masyn Winn,batter,2.387,2.074,0.314,22.0,-0.56,137.0
666201,Alek Manoah,pitcher,2.37,2.669,-0.3,26.0,7.74,400.4
691016,Tyler Soderstrom,batter,2.366,1.866,0.5,22.0,-1.13,138.0
664034,Ty France,batter,2.352,2.352,0.0,29.0,8.02,1955.0
673237,Yainer Diaz,batter,2.35,2.35,0.0,25.0,3.12,400.0
665750,Leody Taveras,batter,2.339,2.339,0.0,25.0,3.24,1147.0
663728,Cal Raleigh,batter,2.329,2.329,0.0,27.0,6.73,1156.0
672695,Geraldo Perdomo,batter,2.325,2.665,-0.34,24.0,2.97,1095.0
663757,Trent Grisham,batter,2.325,2.325,0.0,27.0,7.62,1652.0
672275,Patrick Bailey,batter,2.322,1.954,0.368,25.0,0.84,353.0
680686,Josiah Gray,pitcher,2.315,1.907,0.408,26.0,3.46,377.4
642585,Félix Bautista,pitcher,2.313,2.313,0.0,29.0,5.38,126.2
694384,Nolan Schanuel,batter,2.299,2.299,0.0,22.0,0.08,132.0
681217,Chase Silseth,pitcher,2.292,1.792,0.5,24.0,0.37,80.3
677053,Andrew Nardi,pitcher,2.29,1.79,0.5,25.0,1.57,72.4
677595,Ronny Mauricio,batter,2.286,2.286,0.0,23.0,0.16,108.0
666624,Christopher Morel,batter,2.284,2.284,0.0,25.0,2.47,854.0
608337,Lucas Giolito,pitcher,2.28,1.866,0.414,29.0,6.31,528.3
607074,Carlos Rodón,pitcher,2.261,2.531,-0.27,31.0,9.47,377.2
672582,Angel Zerpa,pitcher,2.243,1.743,0.5,24.0,0.76,58.2
661388,William Contreras,batter,2.236,2.736,-0.5,26.0,6.4,1192.0
656941,Kyle Schwarber,batter,2.224,1.946,0.278,31.0,6.43,2040.0
682848,Endy Rodríguez,batter,2.224,1.942,0.281,24.0,0.2,204.0
660688,Keibert Ruiz,batter,2.222,2.222,0.0,25.0,3.41,1091.0
668933,Graham Ashcraft,pitcher,2.214,2.214,0.0,26.0,3.35,250.2
682641,Luis Matos,batter,2.201,2.201,0.0,22.0,-0.37,253.0
621107,Zach Eflin,pitcher,2.201,2.201,0.0,30.0,6.46,373.5
669720,Austin Hays,batter,2.198,2.698,-0.5,28.0,8.78,1690.0
572233,Christian Walker,batter,2.195,2.195,0.0,33.0,9.34,1848.0
682622,Noelvi Marte,batter,2.191,2.526,-0.335,22.0,0.79,123.0
592662,Robbie Ray,pitcher,2.173,1.687,0.486,32.0,8.67,388.4
672580,Maikel García,batter,2.173,2.173,0.0,24.0,0.98,538.0
687093,Vaughn Grissom,batter,2.172,2.172,0.0,23.0,0.06,240.0
691023,Jordan Walker,batter,2.171,2.43,-0.26,22.0,-0.11,465.0
666158,Gavin Lux,batter,2.168,2.486,-0.318,26.0,4.22,883.0
663624,Ryan Mountcastle,batter,2.165,1.665,0.5,27.0,4.7,1678.0
571970,Max Muncy,batter,2.165,2.165,0.0,33.0,10.59,1764.0
678009,Parker Meadows,batter,2.145,2.145,0.0,24.0,0.95,145.0
595879,Javier Báez,batter,2.138,2.138,0.0,31.0,7.49,1684.0
664040,Brandon Lowe,batter,2.129,2.129,0.0,29.0,7.55,1335.0
643446,Jeff McNeil,batter,2.113,2.613,-0.5,32.0,9.75,1674.0
596146,Max Kepler,batter,2.112,2.112,0.0,31.0,6.47,1451.0
687952,Christian Encarnacion-Strand,batter,2.107,2.107,0.0,24.0,0.45,241.0
693433,Bryan Woo,pitcher,2.099,2.099,0.0,24.0,0.53,87.2
657006,Justin Steele,pitcher,2.086,2.086,0.0,28.0,5.85,349.1
673548,Seiya Suzuki,batter,2.083,2.378,-0.294,29.0,4.97,1029.0
642547,Freddy Peralta,pitcher,2.076,2.076,0.0,28.0,6.86,396.3
664702,Myles Straw,batter,2.073,2.073,0.0,29.0,6.92,1779.0
592836,Taijuan Walker,pitcher,2.069,2.069,0.0,31.0,5.79,488.3
682243,Bryce Miller,pitcher,2.065,2.065,0.0,25.0,1.03,131.1
502671,Paul Goldschmidt,batter,2.063,2.487,-0.424,36.0,16.88,2030.0
682990,Quinn Priester,pitcher,2.059,1.559,0.5,23.0,-0.93,50.0
666157,Nick Lodolo,pitcher,2.058,1.558,0.5,26.0,2.6,137.2
623993,Anthony Santander,batter,2.056,2.056,0.0,29.0,5.58,1754.0
686894,Joey Wiemer,batter,2.049,2.049,0.0,25.0,0.9,410.0
650633,Mike King,pitcher,2.048,2.048,0.0,29.0,6.15,218.3
672284,Jarred Kelenic,batter,2.044,2.044,0.0,24.0,0.24,992.0
592885,Christian Yelich,batter,2.036,2.036,0.0,32.0,7.33,1805.0
642708,Amed Rosario,batter,2.035,2.035,0.0,28.0,6.51,1835.0
663474,Triston McKenzie,pitcher,2.026,2.026,0.0,26.0,4.97,338.1
682227,Brandon Williamson,pitcher,2.024,2.024,0.0,26.0,1.62,117.0
671277,Luis García,batter,2.018,2.018,0.0,24.0,0.89,1106.0
676801,Chas McCormick,batter,1.999,2.35,-0.351,29.0,7.43,1288.0
657077,Alex Verdugo,batter,1.999,1.999,0.0,28.0,5.88,1897.0
676059,Jordan Westburg,batter,1.995,1.995,0.0,25.0,1.24,237.0
672715,Luis Patiño,pitcher,1.985,1.485,0.5,24.0,-0.35,120.4
641816,Tyler Mahle,pitcher,1.958,1.958,0.0,29.0,7.36,325.4
600869,Jeimer Candelario,batter,1.954,2.311,-0.357,30.0,7.31,1669.0
661403,Emmanuel Clase,pitcher,1.953,2.232,-0.28,26.0,6.2,219.6
641680,Jonah Heim,batter,1.952,1.952,0.0,29.0,5.39,1307.0
641482,Néstor Cortés,pitcher,1.947,2.214,-0.266,29.0,7.61,326.2
665871,Javier Assad,pitcher,1.943,1.943,0.0,26.0,3.04,146.3
668731,Akil Baddoo,batter,1.942,1.942,0.0,25.0,3.06,1043.0
669016,Brandon Marsh,batter,1.938,2.438,-0.5,26.0,5.37,1280.0
642207,Devin Williams,pitcher,1.936,1.936,0.0,29.0,6.34,173.3
543243,Sonny Gray,pitcher,1.921,2.256,-0.335,34.0,11.15,447.3
666134,Nolan Jones,batter,1.915,2.415,-0.5,26.0,4.36,518.0
672820,Lenyn Sosa,batter,1.911,1.411,0.5,24.0,-1.21,209.0
621493,Taylor Ward,batter,1.908,1.908,0.0,30.0,5.87,1210.0
602104,Ramón Urías,batter,1.901,2.229,-0.328,30.0,7.52,1139.0
672478,Jordan Diaz,batter,1.897,1.897,0.0,23.0,-1.05,344.0
673962,Josh Jung,batter,1.891,1.891,0.0,26.0,2.65,687.0
621242,Edwin Díaz,pitcher,1.884,1.884,0.0,30.0,4.24,126.4
676664,JP Sears,pitcher,1.882,1.882,0.0,28.0,3.69,242.1
641933,Tyler O'Neill,batter,1.882,1.882,0.0,29.0,7.74,1191.0
686218,Emmet Sheehan,pitcher,1.869,1.869,0.0,24.0,0.27,64.0
643396,Isiah Kiner-Falefa,batter,1.861,1.861,0.0,29.0,6.71,1589.0
681351,Logan O'Hoppe,batter,1.845,1.845,0.0,24.0,0.55,215.0
607536,Kyle Freeland,pitcher,1.837,1.837,0.0,31.0,5.75,449.6
686613,Hunter Brown,pitcher,1.835,1.464,0.371,25.0,0.87,186.2
