player_id,position_type,war_agg,vol_agg,causal_war,point_estimate_per_pa,pa,war_f,name,_rank_group,adjusted_war_v3,rank_trad,rank_model,rank_diff,hit,basis
452657,pitcher,3.4699999999999998,353.3333333333333,-2.0,-0.0164,1524,-0.23,Jon Lester,pitcher,-1.260294259955518,83,533,-450,True,war_agg_half
467100,pitcher,2.8499999999999996,348.0,-2.98,-0.0254,1468,-0.49,Iván Nova,pitcher,-2.5489393037298917,116,565,-449,True,war_agg_half
502190,pitcher,2.74,382.66666666666663,-2.56,-0.0199,1603,,Mike Leake,pitcher,-2.2796487359671325,121,562,-441,,exit_no_followup_row
625643,pitcher,3.4,372.66666666666663,-1.45,-0.0113,1600,-0.62,Reynaldo López,pitcher,-1.1284050489122677,86,517,-431,True,war_agg_half
596001,pitcher,3.41,352.33333333333337,-1.78,-0.0146,1522,-0.19,Jakob Junis,pitcher,-1.0420397401677677,85,512,-427,True,war_agg_half
488768,pitcher,2.55,303.0,-2.7,-0.0258,1307,,Andrew Cashner,pitcher,-1.4977139895523846,138,546,-408,,exit_no_followup_row
453562,pitcher,3.06,308.3333333333333,-1.13,-0.0108,1304,0.77,Jake Arrieta,pitcher,-1.024983161938281,103,511,-408,True,war_agg_half
520471,batter,4.9,1245.0,-1.87,-0.0192,1220,0.2,Freddy Galvis,batter,-2.1281795619104247,92,490,-398,True,war_agg_half
605164,pitcher,2.04,333.3333333333333,-3.37,-0.0293,1441,1.67,Dylan Bundy,pitcher,-1.6404346423167737,163,552,-389,False,war_agg_half
595281,batter,4.640000000000001,847.0,-2.22,-0.0324,858,1.86,Kevin Kiermaier,batter,-1.7969708253832366,99,476,-377,True,war_agg_half
542340,batter,7.41,1229.0,0.57,0.0059,1217,-0.25,Jonathan Villar,batter,-0.9970991311878906,44,420,-376,True,war_agg_half
570560,batter,3.94,1217.0,-2.89,-0.0303,1196,0.34,Yolmer Sánchez,batter,-3.0509377270856146,122,497,-375,True,war_agg_half
570560,batter,3.94,1217.0,-2.89,-0.0303,1196,-0.02,Yolmer Sánchez,batter,-3.0509377270856146,122,497,-375,True,war_agg_half
670950,pitcher,2.79,261.6666666666667,0.12,0.0014,1101,-0.48,Trevor Richards,pitcher,-0.8500211624666291,120,483,-363,True,war_agg_half
571927,pitcher,3.2,314.33333333333337,-0.47,-0.0045,1318,-0.95,Steven Matz,pitcher,-0.6670502187411539,94,452,-358,True,war_agg_half
642545,pitcher,2.81,212.0,-1.1,-0.0152,898,0.93,Jaime Barría,pitcher,-0.7908491998619935,119,477,-358,True,war_agg_half
543699,pitcher,4.7,345.66666666666663,-0.99,-0.0086,1443,-0.34,Tanner Roark,pitcher,-0.4344832498783896,50,401,-351,True,war_agg_half
592716,pitcher,1.39,148.33333333333331,-3.5,-0.0669,654,,Adrian Sampson,pitcher,-1.7533111124222358,218,554,-336,,exit_no_followup_row
598265,batter,4.609999999999999,1102.0,0.16,0.0017,1142,2.0,Jackie Bradley,batter,-1.1042545257461343,101,433,-332,True,war_agg_half
503556,batter,4.41,1015.0,-0.3,-0.0036,1045,0.18,Marwin González,batter,-1.1592563821813866,105,437,-332,True,war_agg_half
514917,batter,4.04,1375.0,-0.29,-0.0027,1344,1.72,César Hernández,batter,-1.2698253560184676,115,446,-331,True,war_agg_half
592826,pitcher,1.4,264.0,-1.69,-0.0188,1123,0.39,Vince Velasquez,pitcher,-1.4898546601078135,217,545,-328,True,war_agg_half
641778,pitcher,1.4200000000000002,261.66666666666663,-1.95,-0.022,1108,-0.6,Eric Lauer,pitcher,-1.3810789661136167,210,537,-327,True,war_agg_half
570731,batter,3.62,965.0,-1.03,-0.0133,965,1.28,Jonathan Schoop,batter,-1.4450497458381668,136,461,-325,True,war_agg_half
621107,pitcher,2.94,291.33333333333337,-0.84,-0.0086,1222,1.68,Zach Eflin,pitcher,-0.612248594525143,109,433,-324,False,war_agg_half
