player_id,causal_war,point_estimate_per_pa,pa,trad_war,pa_total,position,ip_total,name,baseline_year,_rank_group,adjusted_war_v3,proj_woba,rank_trad,rank_model,rank_diff,hit,basis
607680,-1.22,-0.0253,603,3.52,584.0,batter,,Kevin Pillar,2016,batter,-1.2594544933390885,0.31129705419626685,56,434,-378,True,war_delta
571740,-1.0,-0.029,431,3.07,460.0,batter,,Billy Hamilton,2016,batter,-1.023645546207891,0.2949597671522832,71,427,-356,True,war_delta
578428,-0.93,-0.0234,496,2.33,513.0,batter,,Jose Iglesias,2016,batter,-1.0488654391787615,0.3179812197431711,110,430,-320,True,war_delta
592743,-0.04,-0.001,475,4.45,483.0,batter,,Andrelton Simmons,2016,batter,-0.3926437633391875,0.3172147209257299,39,353,-314,False,war_delta
521692,-0.24,-0.0056,539,2.95,546.0,batter,,Salvador Pérez,2016,batter,-0.6091289330630789,0.32308887698873545,78,392,-314,True,war_delta
543063,0.09,0.0019,611,5.51,623.0,batter,,Brandon Crawford,2016,batter,-0.3547721366754433,0.3268389815718061,19,332,-313,True,war_delta
458675,-1.25,-0.0384,407,2.56,417.0,batter,,Colby Rasmus,2016,batter,-0.7134120137551797,0.31893372181250934,98,410,-312,True,war_delta
452104,-0.17,-0.004,523,2.49,529.0,batter,,Chase Headley,2016,batter,-0.5863108091020443,0.31682116815718303,102,389,-287,True,war_delta
457787,-1.53,-0.0334,573,1.7,601.0,batter,,Danny Espinosa,2016,batter,-1.174326355552567,0.3059370274236083,150,431,-281,True,war_delta
446308,-0.69,-0.0187,459,1.96,464.0,batter,,Matt Wieters,2016,batter,-0.701515376749678,0.3142648909397159,132,407,-275,True,war_delta
431145,-0.05,-0.0012,563,2.05,535.0,batter,,Russell Martin,2016,batter,-0.5311351621557239,0.3263894128302584,126,382,-256,True,war_delta
453056,0.06,0.0013,607,2.63,626.0,batter,,Jacoby Ellsbury,2016,batter,-0.3858327248311626,0.3142396224879275,94,349,-255,True,war_delta
543768,-0.0,-0.0001,520,1.7,530.0,batter,,Travis Shaw,2016,batter,-0.61169893446351,0.33572785528831667,150,394,-244,False,war_delta
545350,-0.96,-0.04,301,1.71,311.0,batter,,Jake Marisnick,2016,batter,-0.546631488144688,0.30383268646465517,147,385,-238,False,war_delta
453064,0.41,0.0089,578,3.32,544.0,batter,,Troy Tulowitzki,2016,batter,-0.28668848301042715,0.33030769468386434,67,303,-236,True,war_delta
641313,0.16,0.0047,420,2.32,431.0,batter,,Tim Anderson,2016,batter,-0.37542721435313287,0.33516002982843224,111,344,-233,True,war_delta
518792,-1.92,-0.0383,625,1.04,592.0,batter,,Jason Heyward,2016,batter,-1.3052754623826204,0.3213239620346366,205,435,-230,False,war_delta
520471,-1.91,-0.0399,597,0.93,624.0,batter,,Freddy Galvis,2016,batter,-1.4825404217576812,0.29851186998846874,216,438,-222,False,war_delta
502481,-0.26,-0.0103,311,2.84,337.0,batter,,Jarrod Dyson,2016,batter,-0.30362581688750934,0.31181215810687385,88,310,-222,True,war_delta
588751,-1.78,-0.0426,521,1.18,547.0,batter,,Adeiny Hechavarría,2016,batter,-0.7601934954634748,0.2945376890877871,193,414,-221,True,war_delta
446359,-0.03,-0.0009,495,2.24,508.0,batter,,Zack Cozart,2016,batter,-0.3638726307735476,0.3191750230432468,116,336,-220,False,war_delta
543281,-0.34,-0.0085,507,1.86,522.0,batter,,Josh Harrison,2016,batter,-0.4017923474372348,0.3167664141298599,136,356,-220,False,war_delta
425834,-0.57,-0.0129,547,1.24,539.0,batter,,B. J. Upton,2016,batter,-0.7046685286743452,0.3141285165486028,188,408,-220,,no_2026_record
502082,-0.0,-0.0001,447,1.61,418.0,batter,,Lonnie Chisenhall,2016,batter,-0.5314959517364953,0.3165644721177851,164,383,-219,True,war_delta
605412,-0.61,-0.0149,514,1.19,526.0,batter,,Joe Panik,2016,batter,-0.678212235760343,0.33575433309608393,192,405,-213,False,war_delta
