pitcher_id,season,max_mdi,pct_days_above_z1,breached_z1,pct_days_above_z2,breached_z2,pct_days_above_z3,breached_z3
429717,2015,3.2125734675802406,78.57142857142857,True,28.57142857142857,True,14.285714285714285,True
543699,2016,4.706141238497852,57.14285714285714,True,57.14285714285714,True,42.857142857142854,True
448306,2015,3.4097796529209163,76.92307692307693,True,30.76923076923077,True,7.6923076923076925,True
488768,2016,4.8428904582151775,83.33333333333334,True,50.0,True,16.666666666666664,True
434628,2016,19.684430308628528,50.0,True,33.33333333333333,True,25.0,True
474463,2015,8.65610577739334,76.92307692307693,True,38.46153846153847,True,15.384615384615385,True
592789,2016,3.727412869701286,91.66666666666666,True,41.66666666666667,True,25.0,True
504379,2016,2.697435190343557,48.484848484848484,True,6.0606060606060606,True,0.0,False
543734,2015,4.5431525595111975,90.0,True,40.0,True,40.0,True
462136,2015,7.346081534879318,92.85714285714286,True,50.0,True,35.714285714285715,True
571666,2015,10.635107661824959,84.61538461538461,True,53.84615384615385,True,30.76923076923077,True
543135,2016,3.4807347039623067,63.63636363636363,True,45.45454545454545,True,9.090909090909092,True
592836,2016,9.395703014931101,63.63636363636363,True,36.36363636363637,True,18.181818181818183,True
434538,2015,1.7536435229934249,46.15384615384615,True,0.0,False,0.0,False
544931,2015,3.357486939973092,88.88888888888889,True,66.66666666666666,True,22.22222222222222,True
607259,2015,1.2565138987403108,36.36363636363637,True,0.0,False,0.0,False
592332,2016,3.7582811603415,91.66666666666666,True,58.333333333333336,True,8.333333333333332,True
517593,2016,3.0869110994231956,50.0,True,8.333333333333332,True,8.333333333333332,True
527054,2016,5.219432393260989,76.92307692307693,True,38.46153846153847,True,23.076923076923077,True
570649,2016,5.632515654909371,75.0,True,33.33333333333333,True,16.666666666666664,True
460059,2015,4.579977822421872,61.53846153846154,True,23.076923076923077,True,7.6923076923076925,True
502042,2016,3.9199983364841082,71.42857142857143,True,28.57142857142857,True,14.285714285714285,True
607074,2015,4.548920174760659,70.0,True,30.0,True,10.0,True
543101,2015,5.141895126444801,76.92307692307693,True,38.46153846153847,True,15.384615384615385,True
518774,2015,3.4929447541004457,71.42857142857143,True,35.714285714285715,True,14.285714285714285,True
543243,2015,2.985023505949109,69.23076923076923,True,23.076923076923077,True,0.0,False
501957,2015,4.686403175734533,41.66666666666667,True,33.33333333333333,True,8.333333333333332,True
517593,2015,7.821759619632676,83.33333333333334,True,58.333333333333336,True,50.0,True
502190,2016,7.492675434821341,61.53846153846154,True,23.076923076923077,True,23.076923076923077,True
533167,2016,3.138813026062308,83.33333333333334,True,16.666666666666664,True,8.333333333333332,True
446372,2016,2.883586501726581,73.33333333333333,True,53.333333333333336,True,0.0,False
543521,2015,6.748158356068621,57.14285714285714,True,35.714285714285715,True,7.142857142857142,True
445060,2016,3.1789534001461535,61.53846153846154,True,30.76923076923077,True,7.6923076923076925,True
612672,2015,7.319007132696532,92.3076923076923,True,84.61538461538461,True,53.84615384615385,True
501992,2015,3.2745065054947173,66.66666666666666,True,33.33333333333333,True,8.333333333333332,True
608665,2016,5.030760446005661,58.333333333333336,True,25.0,True,8.333333333333332,True
571578,2016,6.206952426419021,50.0,True,30.0,True,30.0,True
425844,2016,3.4461844579335277,81.81818181818183,True,54.54545454545454,True,18.181818181818183,True
467100,2016,4.7363681959046,83.33333333333334,True,41.66666666666667,True,16.666666666666664,True
501957,2016,6.162483618207046,92.3076923076923,True,61.53846153846154,True,46.15384615384615,True
547874,2016,2.746669058425814,42.857142857142854,True,21.428571428571427,True,0.0,False
543243,2016,4.446969920259658,100.0,True,66.66666666666666,True,33.33333333333333,True
446372,2015,3.1095988824923646,50.0,True,21.428571428571427,True,7.142857142857142,True
453178,2016,4.362500861966621,92.3076923076923,True,53.84615384615385,True,46.15384615384615,True
282332,2015,4.916320349276243,75.0,True,25.0,True,8.333333333333332,True
543101,2016,4.686617756218615,66.66666666666666,True,33.33333333333333,True,22.22222222222222,True
502188,2015,7.23514506587973,92.3076923076923,True,61.53846153846154,True,46.15384615384615,True
519043,2016,5.221803263642282,85.71428571428571,True,42.857142857142854,True,21.428571428571427,True
407822,2015,5.391642152538739,63.63636363636363,True,9.090909090909092,True,9.090909090909092,True
605228,2016,4.912068250167598,50.0,True,33.33333333333333,True,16.666666666666664,True
